date,mo3,mo6 ,mo12,mo24,mo36,mo60,mo84,mo120,mo360,logCPI,logGDP,NETEXC,EFFR,UNRATE,360
10/1/1981,12.34616667,13.26,13.59,13.95,14.13196721,14.16,14.15,14.12,13.85,2.628131347,0.966273079,-19.790,13.59,8.2,
1/1/1982,13.46934426,14.14,14.30,14.50,14.47344262,14.36,14.33,14.27,13.96,2.636348747,0.969394909,-25.250,14.21,8.8,
4/1/1982,13.0515873,13.60,13.81,14.16,14.1552381,14.07,14.06,13.94,13.52,2.604310945,0.957168128,-16.163,14.51,9.4,
7/1/1982,9.67375,11.04,11.83,12.63,12.88140625,13.10,13.19,13.11,12.79,2.549005621,0.935703331,-52.351,11.01,9.9,
10/1/1982,8.170327869,8.67,9.12,9.88,10.15557377,10.46,10.63,10.66,10.75,2.37455495,0.86481003,-52.751,9.28,10.7,
1/1/1983,8.398730159,8.62,8.87,9.54,9.794920635,10.12,10.40,10.56,10.71,2.370881426,0.863261796,-56.377,8.66,10.4,
4/1/1983,8.726190476,8.99,9.19,9.76,9.923015873,10.24,10.48,10.55,10.65,2.365857933,0.861140718,-87.459,8.80,10.1,
7/1/1983,9.5246875,9.92,10.30,10.86,11.10171875,11.43,11.59,11.64,11.62,2.453117628,0.897359717,-117.093,9.46,9.4,
10/1/1983,9.156333333,9.55,9.95,10.69,10.9885,11.41,11.62,11.69,11.74,2.462746245,0.901277087,-133.497,9.43,8.5,
1/1/1984,9.545806452,9.88,10.19,10.92,11.19967742,11.65,11.87,11.95,12.04,2.48792628,0.911449544,-166.600,9.69,7.9,
4/1/1984,10.18793651,10.92,11.56,12.37,12.65031746,13.02,13.16,13.21,13.18,2.579001565,0.947402334,-180.117,10.55,7.4,
7/1/1984,10.74571429,11.28,11.82,12.51,12.6431746,12.84,12.90,12.87,12.69,2.540739229,0.932455074,-186.272,11.39,7.4,
10/1/1984,9.164918033,9.58,10.05,10.84,11.13098361,11.51,11.72,11.76,11.70,2.459490757,0.899954319,-195.335,9.26,7.3,
